DATABASE TO REPORT,,,,,,,,,,,,,
,,,,,,,,,,,,,
SOURCE,,,,,,,SOURCE<>TARGET,TARGET,,,,,
Tool Type,Tool Name,Database Name,Schema Name,Object Name,Object Type,Connection Name,LinkType,Tool Type,Tool Name,Model Name,Report Name,Report Path,Connection Name
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,supply_bi,report_pfo_sherpa_pedidos_ventas,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,forecast_user,forecast_rates_c4_model,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,supply_user,supply_stock_type_hist,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,forecast_last,supply_deviations,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,pricing_user,prc_promotions,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,supply_bi,report_pfo_sherpa_cuentas_terceros_seguimiento_facturas_vta,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,mdata_bi,estructura_comercial,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,supply_user,supply_sku,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,supply_user,supply_similar_promos,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,supply_bi,report_pfo_sherpa_seguimiento_facturas_vta,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,supply_stream,supply_stock_type,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,supply_bi,report_pfo_sherpa_movimientos_stock,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,sales_user,sales_aggregated_supply,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,supply_stream,stock_atp_movements,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,forecast_user,forecast_sales_forecast,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,supply_raw,ped001_cuadre_gold,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,forecast_user,forecast_promotional_index,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,supply_user,supply_rates,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,mdata_stream,lfa1,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,supply_bi,report_pfo_sherpa_expediciones,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,supply_last,supply_promo_report,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,supply_user,supply_promotional_index,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,supply_user,cuadro_mando_apro_textil,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,supply_last,supply_sales_report_view,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
DATABASE,MICROSTRATEGY,Impala Cloudera Kerberos Cuali DELEGATION,supply_last,supply_sales_report_future_view,,Paquete_Apro_Cuali,DataFlow,REPORT,MICROSTRATEGY,,supply_promo_report_v3_old01,\Public Objects\Reports\Apro\supply_promo_report\supply_promo_report_v3_old01,Paquete_Apro_Cuali
